frame,x_center,y_center
0,361,167
1,363,168
2,364,169
3,364,170
4,362,169
5,364,169
6,364,169
7,365,169
8,365,169
9,367,169
10,366,169
11,367,170
12,366,170
13,366,170
14,366,170
15,365,171
16,366,171
17,364,172
18,365,172
19,365,173
20,365,173
21,364,171
22,365,171
23,364,172
24,366,171
25,364,170
26,362,170
27,360,168
28,360,167
29,359,166
30,358,164
31,351,165
32,360,164
33,362,163
34,363,163
35,360,162
36,359,162
37,366,160
38,361,160
39,363,160
40,365,160
41,370,160
42,364,161
43,361,161
44,361,161
45,363,160
46,360,160
47,357,159
48,355,160
49,358,160
50,360,160
51,359,161
52,363,161
53,363,160
54,362,159
55,358,159
56,356,158
57,358,158
58,357,159
59,357,158
60,356,158
61,356,158
62,356,158
63,355,158
64,358,158
65,361,157
66,361,157
67,356,157
68,355,157
69,354,157
70,354,157
71,355,157
72,356,157
73,355,157
74,356,158
75,355,158
76,354,158
77,356,158
78,356,158
79,356,159
80,359,157
81,359,157
82,357,158
83,359,157
84,358,157
85,358,157
86,358,157
87,357,157
88,359,157
89,359,157
90,361,157
91,362,158
92,360,160
93,358,161
94,359,160
95,361,160
96,362,161
97,360,161
98,356,159
99,361,157
100,363,158
101,361,157
102,360,155
103,363,153
104,363,151
105,362,148
106,364,155
107,362,155
108,361,152
109,360,154
110,359,153
111,359,152
112,360,156
113,361,155
114,360,155
115,360,155
116,360,156
117,358,156
118,356,156
119,355,155
120,355,156
121,361,160
122,357,157
123,357,155
124,357,156
125,356,154
126,353,152
127,355,148
128,359,153
129,357,152
130,359,153
131,359,150
132,359,151
133,355,150
134,353,152
135,351,152
136,351,153
137,356,153
138,350,151
139,357,151
140,366,153
142,354,148
143,349,145
144,353,145
145,353,143
146,350,141
147,350,139
148,366,139
149,357,136
150,355,135
151,354,134
152,354,135
153,354,133
154,353,135
155,352,135
156,350,133
157,353,134
158,354,131
159,354,131
160,353,130
161,354,130
162,353,130
163,352,135
164,350,135
165,349,132
166,350,130
167,351,131
168,351,130
169,351,130
170,352,131
171,354,130
172,360,130
173,355,133
174,353,133
175,357,131
176,352,128
177,351,129
178,351,129
179,348,131
180,350,131
181,349,131
182,349,130
183,349,130
184,351,133
185,350,132
186,352,133
187,349,131
188,349,131
189,351,129
190,350,128
191,349,128
192,349,128
193,351,128
194,351,127
195,352,127
196,351,128
197,350,128
198,350,128
199,350,128
200,350,127
201,349,127
202,350,127
203,350,128
204,350,130
205,352,130
206,350,131
207,350,130
208,350,129
209,352,132
210,352,134
211,351,131
212,351,132
213,350,131
214,349,130
215,352,132
216,350,132
217,350,130
218,350,130
219,350,131
220,349,131
221,349,130
222,350,131
223,349,132
224,350,131
225,349,131
226,350,131
227,350,131
228,350,131
229,350,131
230,351,130
231,350,129
232,350,130
233,349,128
234,353,129
235,353,129
236,353,129
237,349,127
238,350,127
239,349,126
